"Sampling_ID","Lake","Watershed","inf_fish","tot_fish","prev_fish","tot_Cyprinidae","Silt","Sand","Rock","Boulder","Macrophyte","Site_depth","Trunk","Temperature","Temp.L","Conductivity","Cond.L","DO","DO.L","Turbidity","Turb.L","pH","pH.L","TOC","TN_TP","TOC.L","TN_TP.L","TN","TN.L","TP","TP.L","Lake_area","Perimeter","Area_Perimeter","Mean_depth","Max_depth","WRT","Drainage_area","Elevation","Connectivity","Species_richness","SpR.L","Diversity","Diversity.L","Evenness","Evenness.L"
"ACHI_T_01","Achigan","Achigan",0,9,0,0,0,5,74.8,20.2,3.8,118.5,15,25.2,24.4,56.6,55.85,8.37,8.605,0.06,0.198333333333333,7.25,7.23,4.75,54.0059002531998,4.74166666666667,45.4636936284744,232.49,252.25,4.3049,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"ACHI_T_03","Achigan","Achigan",1,8,0.125,0,28.7,0,20.8,49.5,6.9,115,26,24.5,24.4,55.7,55.85,8.66,8.605,0.17,0.198333333333333,7.56,7.23,4.75,50.9423701160755,4.74166666666667,45.4636936284744,299.75,252.25,5.8841,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"ACHI_T_04","Achigan","Achigan",1,14,0.0714285714285714,0,0,0,67,33,0.2,147,9,24.5,24.4,55.6,55.85,8.67,8.605,0.18,0.198333333333333,7.38,7.23,4.67,43.6821449530516,4.74166666666667,45.4636936284744,238.19,252.25,5.4528,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"ACHI_T_05","Achigan","Achigan",0,141,0,88,9,43.8,45.6,1.6,36.7,37.5,1,23.6,24.4,56.1,55.85,8.78,8.605,0.24,0.198333333333333,6.83,7.23,4.78,36.3943028485757,4.74166666666667,45.4636936284744,242.75,252.25,6.67,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,3,4,0.484281474774911,0.63087207350203,0.677014747763322,0.755579914864783
"ACHI_T_06","Achigan","Achigan",3,9,0.333333333333333,0,0,11.5,72.8,15.7,2.2,66,12,24.3,24.4,55.9,55.85,8.6,8.605,0.16,0.198333333333333,6.98,7.23,4.83,50.5220917284703,4.74166666666667,45.4636936284744,240.47,252.25,4.7597,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"COEU_T_01","Coeur","Coeur",72,122,0.59016393442623,0,43,0,27.5,29.5,2.3,187.5,80,23.6,23.175,53.8,53.475,8.37,8.3175,0.29,0.275,7.38,7.135,5.75,43.9168673437336,5.655,45.3150109766935,419.45,365.87,9.551,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,2,4,0.495162590701424,0.52744291311543,0.993009796542173,0.613783233564026
"COEU_T_02","Coeur","Coeur",75,102,0.735294117647059,0,36.5,0,29.8,33.7,22,62.5,16,23.3,23.175,53.5,53.475,8.38,8.3175,0.33,0.275,7.25,7.135,5.63,43.7984771093454,5.655,45.3150109766935,370.43,365.87,8.4576,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,3,4,0.468089196462899,0.52744291311543,0.747162929904815,0.613783233564026
"COEU_T_03","Coeur","Coeur",58,86,0.674418604651163,0,33.9,0,20.5,45.6,9,80,9,23,23.175,53.4,53.475,8.26,8.3175,0.2,0.275,7.13,7.135,5.6,45.2378029652059,5.655,45.3150109766935,331.67,365.87,7.3317,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,3,4,0.513520822065982,0.52744291311543,0.728108092422368,0.613783233564026
"COEU_T_04","Coeur","Coeur",53,81,0.654320987654321,0,57,0,15.9,27.1,10.6,108,79,22.8,23.175,53.2,53.475,8.26,8.3175,0.28,0.275,6.78,7.135,5.64,49.1603646087932,5.655,45.3150109766935,341.93,365.87,6.9554,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,3,4,0.532235939643347,0.52744291311543,0.749157662074989,0.613783233564026
"CORN_T_01","Cornu","Cornu",68,122,0.557377049180328,20,62,0,1,37,0,370,380,22.6,22.575,147.8,149.375,8.69,8.4725,0.74,0.655,7.33,7.145,3.97,46.9916817359855,4.05,36.2393813691661,324.83,337.655,6.9125,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,4,5,0.6126041386724,0.544438600336036,0.753362850431602,0.537053305659002
