"Lake","Centrarchids","Species_richness","Diversity"
"Achigan",93,3,0.63087207350203
"Coeur",367,3,0.52744291311543
"Cornu",645,4,0.544438600336036
"Corriveau",136,2,0.279972551710617
"Croche",287,2,0.490099143031303
"Cromwell",69,3,0.532273114527973
"Echo",164,5,0.587264138925549
"Fournelle",561,4,0.416686718759894
"Morency",1233,3,0.340675827944346
"Pin_rouge",217,4,0.338446554662771
"Triton",849,2,0.00235017301038076
